model,Strict-Hit@1,Strict-Hit@5,Strict-Hit@10,Strict-MRR@10,nDCG@10
AliasAwareFusion,0.7743362831858407,0.9154375614552606,0.9513274336283186,0.8354003111131921,0.6663128669756939
WithoutEntity,0.676007866273353,0.8328416912487709,0.8815142576204523,0.7441363877573317,0.6040466450023865
WithoutPhrase,0.7433628318584071,0.9038020321206162,0.9401835463782366,0.8122302471737084,0.6516837290310615
WithoutText,0.5467059980334317,0.7774500163880694,0.8384136348738118,0.6445504466399254,0.5295889885793961
