model,Strict-Hit@1,Strict-Hit@5,Strict-Hit@10,Strict-MRR@10,nDCG@10
Full adaptation,0.7743362831858407,0.9154375614552606,0.9513274336283186,0.8354003111131921,0.6663128669756939
Prototype only,0.761225827597509,0.9144542772861357,0.9477220583415275,0.827408200798073,0.6625478563357203
Raw contextual vector,0.7222222222222222,0.8780727630285152,0.9193706981317601,0.7886381904449752,0.6370339932361655
Residual only,0.7246804326450345,0.8821697803998688,0.924942641756801,0.7929743955923897,0.6414447567449282
