model,Strict-Hit@1,Strict-Hit@5,Strict-Hit@10,Strict-MRR@10,nDCG@10,source
GeoLexVec,0.7743362831858407,0.9154375614552606,0.9513274336283186,0.8354003111131921,0.6663128669756939,three-seed out-of-fold prediction
BGE-M3 late interaction,0.73992133726647,0.8893805309734514,0.9218289085545722,0.8034822696695852,0.6599885963910501,precomputed external baseline run
Cross-Encoder,0.727630285152409,0.8829891838741396,0.9183874139626352,0.7951588862355824,0.650739814251859,precomputed external baseline run
BGE-base + BM25 RRF,0.6917404129793511,0.8702064896755162,0.9139626352015733,0.7669616519174042,0.6422440902710592,precomputed external baseline run
Hybrid,0.6705998033431662,0.8367748279252704,0.8947885939036382,0.743430530193067,0.6274973927286608,precomputed external baseline run
BM25,0.6592920353982301,0.8446411012782694,0.8933136676499508,0.7409972920666136,0.6252582611420922,precomputed external baseline run
BGE-M3 learned sparse,0.6651917404129793,0.8313667649950836,0.8761061946902655,0.7363288383199887,0.609402092139942,precomputed external baseline run
TFIDF,0.627826941986234,0.8333333333333334,0.8859390363815143,0.7178563624728816,0.614134274116208,precomputed external baseline run
BGE-base,0.63913470993117,0.8072763028515241,0.8593903638151426,0.7106641460255029,0.5895148900941279,precomputed external baseline run
