metric,baseline,comparison,n_questions,n_source_groups,manual_mean,comparison_mean,mean_difference,cluster_bootstrap_ci95_low,cluster_bootstrap_ci95_high,group_sign_permutation_p,p_fdr_bh,significant_0.05
Strict-Hit@1,AliasAwareFusion,WithoutText,2034,221,0.7743362831858407,0.5467059980334317,0.22763028515240905,0.20122656594044297,0.2542373637879434,4.999750012499375e-05,5.7689423221146635e-05,True
Strict-Hit@1,AliasAwareFusion,WithoutEntity,2034,221,0.7743362831858407,0.676007866273353,0.09832841691248771,0.07950322327044025,0.11750501217270284,4.999750012499375e-05,5.7689423221146635e-05,True
Strict-Hit@1,AliasAwareFusion,WithoutPhrase,2034,221,0.7743362831858407,0.7433628318584071,0.030973451327433628,0.018995090314239665,0.04336551157338794,4.999750012499375e-05,5.7689423221146635e-05,True
Strict-Hit@5,AliasAwareFusion,WithoutText,2034,221,0.9154375614552606,0.7774500163880695,0.1379875450671911,0.11666627097182652,0.16027293920753755,4.999750012499375e-05,5.7689423221146635e-05,True
Strict-Hit@5,AliasAwareFusion,WithoutEntity,2034,221,0.9154375614552606,0.8328416912487709,0.08259587020648967,0.06511169861298681,0.10030504092353368,4.999750012499375e-05,5.7689423221146635e-05,True
Strict-Hit@5,AliasAwareFusion,WithoutPhrase,2034,221,0.9154375614552606,0.9038020321206162,0.011635529334644379,0.003565970453387672,0.019860184302510322,0.006549672516374182,0.006549672516374182,True
Strict-Hit@10,AliasAwareFusion,WithoutText,2034,221,0.9513274336283186,0.8384136348738118,0.11291379875450673,0.09528486431229737,0.1311313400827153,4.999750012499375e-05,5.7689423221146635e-05,True
Strict-Hit@10,AliasAwareFusion,WithoutEntity,2034,221,0.9513274336283186,0.8815142576204523,0.06981317600786627,0.05420175232280899,0.08566546150795255,4.999750012499375e-05,5.7689423221146635e-05,True
Strict-Hit@10,AliasAwareFusion,WithoutPhrase,2034,221,0.9513274336283186,0.9401835463782368,0.01114388725008194,0.004190598970055446,0.01855608305067798,0.0025498725063746812,0.0027320062568300155,True
Strict-MRR@10,AliasAwareFusion,WithoutText,2034,221,0.8354003111131921,0.6445504466399254,0.19084986447326666,0.16904788619597264,0.21284675321445645,4.999750012499375e-05,5.7689423221146635e-05,True
Strict-MRR@10,AliasAwareFusion,WithoutEntity,2034,221,0.8354003111131921,0.7441363877573316,0.09126392335586042,0.07618915588869292,0.10684771813351926,4.999750012499375e-05,5.7689423221146635e-05,True
Strict-MRR@10,AliasAwareFusion,WithoutPhrase,2034,221,0.8354003111131921,0.8122302471737084,0.0231700639394838,0.015398623566727014,0.031077075066547527,4.999750012499375e-05,5.7689423221146635e-05,True
nDCG@10,AliasAwareFusion,WithoutText,2034,221,0.6663128669756939,0.5295889885793962,0.1367238783962978,0.12156524158861165,0.15220703853376746,4.999750012499375e-05,5.7689423221146635e-05,True
nDCG@10,AliasAwareFusion,WithoutEntity,2034,221,0.6663128669756939,0.6040466450023865,0.06226622197330749,0.05039564134320047,0.07397984707847202,4.999750012499375e-05,5.7689423221146635e-05,True
nDCG@10,AliasAwareFusion,WithoutPhrase,2034,221,0.6663128669756939,0.6516837290310615,0.01462913794463232,0.009729635990872466,0.01964060463295442,4.999750012499375e-05,5.7689423221146635e-05,True
Strict-Hit@1,Full adaptation,Prototype only,2034,221,0.7743362831858407,0.761225827597509,0.013110455588331696,0.0061753736192332685,0.020325203252032516,0.00024998750062496874,0.00034089204630677555,True
Strict-Hit@1,Full adaptation,Residual only,2034,221,0.7743362831858407,0.7246804326450345,0.04965585054080629,0.034165763483136886,0.06537994790225214,4.999750012499375e-05,7.499625018749062e-05,True
Strict-Hit@1,Full adaptation,Raw contextual vector,2034,221,0.7743362831858407,0.7222222222222222,0.05211406096361848,0.03615014882749754,0.06846699683718861,4.999750012499375e-05,7.499625018749062e-05,True
Strict-Hit@5,Full adaptation,Prototype only,2034,221,0.9154375614552606,0.9144542772861357,0.0009832841691248767,-0.0031580983683601213,0.005072155382866105,0.6962151892405379,0.6962151892405379,False
Strict-Hit@5,Full adaptation,Residual only,2034,221,0.9154375614552606,0.8821697803998688,0.03326778105539168,0.019869681497327055,0.047518705090702745,4.999750012499375e-05,7.499625018749062e-05,True
Strict-Hit@5,Full adaptation,Raw contextual vector,2034,221,0.9154375614552606,0.8780727630285152,0.03736479842674533,0.023809523809523808,0.051404049256032786,4.999750012499375e-05,7.499625018749062e-05,True
Strict-Hit@10,Full adaptation,Prototype only,2034,221,0.9513274336283186,0.9477220583415275,0.0036053752867912163,-0.00017182352117593475,0.008346736983112018,0.09364531773411329,0.10033426900083567,False
Strict-Hit@10,Full adaptation,Residual only,2034,221,0.9513274336283186,0.924942641756801,0.026384791871517536,0.015382112166200173,0.03800744533119176,4.999750012499375e-05,7.499625018749062e-05,True
Strict-Hit@10,Full adaptation,Raw contextual vector,2034,221,0.9513274336283186,0.9193706981317601,0.0319567354965585,0.02006972120201783,0.04461951568967785,4.999750012499375e-05,7.499625018749062e-05,True
Strict-MRR@10,Full adaptation,Prototype only,2034,221,0.8354003111131921,0.8274082007980729,0.007992110315119164,0.0036084352455899187,0.01244258362851778,0.0005499725013749313,0.0006874656267186642,True
