model,Strict-Hit@1_mean,Strict-Hit@1_std,Strict-Hit@5_mean,Strict-Hit@5_std,Strict-Hit@10_mean,Strict-Hit@10_std,Strict-MRR@10_mean,Strict-MRR@10_std,Strict-Recall@10_mean,Strict-Recall@10_std,nDCG@10_mean,nDCG@10_std
AliasAwareFusion,0.7719847803663522,0.039166290138615875,0.9125090276300124,0.011404003808976305,0.9503522168843432,0.006760823384505335,0.8328698047779908,0.027040345151198453,0.9503522168843432,0.006760823384505335,0.6641655771959054,0.013728338698556325
WithoutEntity,0.6761422838283815,0.04281553971811002,0.8329456919802773,0.03422721495494142,0.8815587769923283,0.017747133494735622,0.744253790130344,0.03724400327863262,0.8815587769923283,0.017747133494735622,0.6041066364614601,0.020261913386580618
WithoutPhrase,0.7454499964527554,0.041831196700508555,0.9056245673256109,0.012914580361022488,0.9419935196378839,0.010492032773926904,0.8142831351692527,0.030953898599336848,0.9419935196378839,0.010492032773926904,0.6530610024894805,0.01216159587739213
WithoutText,0.5442703296708679,0.038495088505063786,0.7783127359616214,0.025802839189268695,0.8397386214382021,0.01484498449732742,0.6439301456943392,0.029576012841444115,0.8397386214382021,0.01484498449732742,0.5294603489981471,0.01828444632967455
