metric,baseline,comparison,n_questions,n_source_groups,manual_mean,comparison_mean,mean_difference,cluster_bootstrap_ci95_low,cluster_bootstrap_ci95_high,group_sign_permutation_p,p_fdr_bh,significant_0.05
Strict-Hit@1,AliasAwareFusion,WithoutText,2034,221,0.7718780727630286,0.5442477876106194,0.22763028515240905,0.20101253774079691,0.2542466970976624,4.999750012499375e-05,6.922730786537595e-05,True
Strict-Hit@1,AliasAwareFusion,WithoutEntity,2034,221,0.7718780727630286,0.676007866273353,0.09587020648967552,0.0764295720835456,0.11604959887351081,4.999750012499375e-05,6.922730786537595e-05,True
Strict-Hit@1,AliasAwareFusion,WithoutPhrase,2034,221,0.7718780727630286,0.7453294001966568,0.02654867256637168,0.013965059198849723,0.03985881546119802,0.00014999250037498125,0.0001799910004499775,True
Strict-Hit@5,AliasAwareFusion,WithoutText,2034,221,0.9124877089478859,0.7782694198623402,0.13421828908554573,0.11256927971261783,0.15695089398359444,4.999750012499375e-05,6.922730786537595e-05,True
Strict-Hit@5,AliasAwareFusion,WithoutEntity,2034,221,0.9124877089478859,0.8328416912487709,0.07964601769911504,0.06148783782493723,0.09792571152918475,4.999750012499375e-05,6.922730786537595e-05,True
Strict-Hit@5,AliasAwareFusion,WithoutPhrase,2034,221,0.9124877089478859,0.9056047197640118,0.00688298918387414,-0.0019241178836164371,0.015445978828756323,0.14814259287035647,0.14814259287035647,False
Strict-Hit@10,AliasAwareFusion,WithoutText,2034,221,0.9503441494591937,0.839724680432645,0.11061946902654868,0.09315654793572666,0.12868639192934808,4.999750012499375e-05,6.922730786537595e-05,True
Strict-Hit@10,AliasAwareFusion,WithoutEntity,2034,221,0.9503441494591937,0.8815142576204523,0.0688298918387414,0.05287003412917856,0.08515939429431686,4.999750012499375e-05,6.922730786537595e-05,True
Strict-Hit@10,AliasAwareFusion,WithoutPhrase,2034,221,0.9503441494591937,0.9419862340216323,0.008357915437561455,0.001020903014604075,0.01604845239544801,0.04169791510424479,0.0441507336397886,True
Strict-MRR@10,AliasAwareFusion,WithoutText,2034,221,0.8327993554026002,0.643904418535687,0.18889493686691328,0.16744125760614664,0.2107301011084814,4.999750012499375e-05,6.922730786537595e-05,True
Strict-MRR@10,AliasAwareFusion,WithoutEntity,2034,221,0.8327993554026002,0.7441363877573317,0.08866296764526853,0.07313938494554854,0.10503386831062626,4.999750012499375e-05,6.922730786537595e-05,True
Strict-MRR@10,AliasAwareFusion,WithoutPhrase,2034,221,0.8327993554026002,0.814199872016981,0.01859948338561908,0.01036214081442463,0.027138426190051832,9.99950002499875e-05,0.0001285650003214125,True
Strict-Recall@10,AliasAwareFusion,WithoutText,2034,221,0.9503441494591937,0.839724680432645,0.11061946902654868,0.09260926404053249,0.12909961407093376,4.999750012499375e-05,6.922730786537595e-05,True
Strict-Recall@10,AliasAwareFusion,WithoutEntity,2034,221,0.9503441494591937,0.8815142576204523,0.0688298918387414,0.05274256149123611,0.08521914234867832,4.999750012499375e-05,6.922730786537595e-05,True
Strict-Recall@10,AliasAwareFusion,WithoutPhrase,2034,221,0.9503441494591937,0.9419862340216323,0.008357915437561455,0.0010131712259371835,0.016151617699841025,0.03974801259937003,0.0441507336397886,True
nDCG@10,AliasAwareFusion,WithoutText,2034,221,0.6641388572661188,0.5294489131411577,0.13468994412496105,0.12025159407310296,0.14963244817416296,4.999750012499375e-05,6.922730786537595e-05,True
nDCG@10,AliasAwareFusion,WithoutEntity,2034,221,0.6641388572661188,0.6040466450023865,0.06009221226373235,0.04785741002467588,0.07256424152566544,4.999750012499375e-05,6.922730786537595e-05,True
nDCG@10,AliasAwareFusion,WithoutPhrase,2034,221,0.6641388572661188,0.6530327792039278,0.011106078062190954,0.00580718990168226,0.016493983942603357,4.999750012499375e-05,6.922730786537595e-05,True
