stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,0.0,1.0,0.36751529574394226
coarse_0.10,0.0,0.1,0.9,0.6043919324874878
coarse_0.10,0.0,0.2,0.8,0.6053043007850647
coarse_0.10,0.0,0.3,0.7,0.6108041405677795
coarse_0.10,0.0,0.4,0.6,0.6208518743515015
coarse_0.10,0.0,0.5,0.5,0.627088189125061
coarse_0.10,0.0,0.6,0.4,0.6324934363365173
coarse_0.10,0.0,0.7,0.3,0.6323283314704895
coarse_0.10,0.0,0.8,0.2,0.6272340416908264
coarse_0.10,0.0,0.9,0.1,0.6084502935409546
coarse_0.10,0.0,1.0,0.0,0.5193132162094116
coarse_0.10,0.1,0.0,0.9,0.6722915172576904
coarse_0.10,0.1,0.1,0.8,0.7027586698532104
coarse_0.10,0.1,0.2,0.7,0.6966450214385986
coarse_0.10,0.1,0.3,0.6,0.6985778212547302
coarse_0.10,0.1,0.4,0.5,0.7057625651359558
coarse_0.10,0.1,0.5,0.4,0.7069321274757385
coarse_0.10,0.1,0.6,0.3,0.7110393643379211
coarse_0.10,0.1,0.7,0.2,0.7107312083244324
coarse_0.10,0.1,0.8,0.1,0.7085609436035156
coarse_0.10,0.1,0.9,0.0,0.6705570220947266
coarse_0.10,0.2,0.0,0.8,0.6722915172576904
coarse_0.10,0.2,0.1,0.7,0.7024241089820862
coarse_0.10,0.2,0.2,0.6,0.7113929390907288
coarse_0.10,0.2,0.3,0.5,0.7245099544525146
coarse_0.10,0.2,0.4,0.4,0.7309746742248535
coarse_0.10,0.2,0.5,0.3,0.73619145154953
coarse_0.10,0.2,0.6,0.2,0.7444140911102295
coarse_0.10,0.2,0.7,0.1,0.7558026313781738
coarse_0.10,0.2,0.8,0.0,0.7191699743270874
coarse_0.10,0.3,0.0,0.7,0.6722915172576904
coarse_0.10,0.3,0.1,0.6,0.7028647661209106
coarse_0.10,0.3,0.2,0.5,0.7238122224807739
coarse_0.10,0.3,0.3,0.4,0.7429006099700928
coarse_0.10,0.3,0.4,0.3,0.7578061819076538
coarse_0.10,0.3,0.5,0.2,0.7734501957893372
coarse_0.10,0.3,0.6,0.1,0.790410041809082
coarse_0.10,0.3,0.7,0.0,0.758411705493927
coarse_0.10,0.4,0.0,0.6,0.6739346981048584
coarse_0.10,0.4,0.1,0.5,0.7091401815414429
coarse_0.10,0.4,0.2,0.4,0.7400282621383667
coarse_0.10,0.4,0.3,0.3,0.7706080079078674
coarse_0.10,0.4,0.4,0.2,0.7965618371963501
coarse_0.10,0.4,0.5,0.1,0.8145419359207153
coarse_0.10,0.4,0.6,0.0,0.7811505794525146
coarse_0.10,0.5,0.0,0.5,0.6829452514648438
coarse_0.10,0.5,0.1,0.4,0.7295264005661011
coarse_0.10,0.5,0.2,0.3,0.7694274187088013
coarse_0.10,0.5,0.3,0.2,0.800956666469574
coarse_0.10,0.5,0.4,0.1,0.8250858187675476
coarse_0.10,0.5,0.5,0.0,0.7989944815635681
coarse_0.10,0.6,0.0,0.4,0.6987581253051758
coarse_0.10,0.6,0.1,0.3,0.756717324256897
coarse_0.10,0.6,0.2,0.2,0.7973370552062988
coarse_0.10,0.6,0.3,0.1,0.8256789445877075
coarse_0.10,0.6,0.4,0.0,0.8043195605278015
coarse_0.10,0.7,0.0,0.3,0.7197791337966919
coarse_0.10,0.7,0.1,0.2,0.7825899124145508
coarse_0.10,0.7,0.2,0.1,0.8145491480827332
coarse_0.10,0.7,0.3,0.0,0.7994556427001953
coarse_0.10,0.8,0.0,0.2,0.7337861061096191
coarse_0.10,0.8,0.1,0.1,0.7926954030990601
coarse_0.10,0.8,0.2,0.0,0.7846885919570923
coarse_0.10,0.9,0.0,0.1,0.7246543169021606
coarse_0.10,0.9,0.1,0.0,0.7478431463241577
coarse_0.10,1.0,0.0,0.0,0.671667218208313
refined_0.02,0.5,0.3,0.2,0.800956666469574
refined_0.02,0.5,0.32,0.18,0.8067981600761414
refined_0.02,0.5,0.34,0.16,0.8121867179870605
refined_0.02,0.5,0.36,0.14,0.8170340657234192
refined_0.02,0.5,0.38,0.12,0.8192471265792847
refined_0.02,0.5,0.4,0.1,0.8250858187675476
refined_0.02,0.52,0.28,0.2,0.8016629815101624
refined_0.02,0.52,0.3,0.18,0.8073810338973999
