stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,1.0,0.0,0.5251477956771851
coarse_0.10,0.1,0.9,0.0,0.6743515133857727
coarse_0.10,0.2,0.8,0.0,0.7239656448364258
coarse_0.10,0.3,0.7,0.0,0.759293794631958
coarse_0.10,0.4,0.6,0.0,0.7829562425613403
coarse_0.10,0.5,0.5,0.0,0.7992004156112671
coarse_0.10,0.6,0.4,0.0,0.8076289296150208
coarse_0.10,0.7,0.3,0.0,0.8009102940559387
coarse_0.10,0.8,0.2,0.0,0.7868026494979858
coarse_0.10,0.9,0.1,0.0,0.7482229471206665
coarse_0.10,1.0,0.0,0.0,0.673134446144104
refined_0.02,0.5,0.5,0.0,0.7992004156112671
refined_0.02,0.52,0.48,0.0,0.8010375499725342
refined_0.02,0.54,0.46,0.0,0.8037340641021729
refined_0.02,0.56,0.44,0.0,0.8037892580032349
refined_0.02,0.58,0.42,0.0,0.805288553237915
refined_0.02,0.6,0.4,0.0,0.8076289296150208
refined_0.02,0.62,0.38,0.0,0.8044140338897705
refined_0.02,0.64,0.36,0.0,0.8026450872421265
refined_0.02,0.66,0.34,0.0,0.8038430213928223
refined_0.02,0.68,0.32,0.0,0.8025043606758118
refined_0.02,0.7,0.3,0.0,0.8009102940559387
