stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,0.0,1.0,0.3696189522743225
coarse_0.10,0.0,0.1,0.9,0.6171354055404663
coarse_0.10,0.0,0.2,0.8,0.6180840134620667
coarse_0.10,0.0,0.3,0.7,0.6238683462142944
coarse_0.10,0.0,0.4,0.6,0.6324387192726135
coarse_0.10,0.0,0.5,0.5,0.6375365853309631
coarse_0.10,0.0,0.6,0.4,0.6428209543228149
coarse_0.10,0.0,0.7,0.3,0.6409425735473633
coarse_0.10,0.0,0.8,0.2,0.6355830430984497
coarse_0.10,0.0,0.9,0.1,0.6152344346046448
coarse_0.10,0.0,1.0,0.0,0.5222842693328857
refined_0.02,0.0,0.5,0.5,0.6375365853309631
refined_0.02,0.0,0.52,0.48,0.6378170251846313
refined_0.02,0.0,0.54,0.46,0.6396976113319397
refined_0.02,0.0,0.56,0.44,0.6404425501823425
refined_0.02,0.0,0.58,0.42,0.6413084268569946
refined_0.02,0.0,0.6,0.4,0.6428209543228149
refined_0.02,0.0,0.62,0.38,0.6435675621032715
refined_0.02,0.0,0.64,0.36,0.642693817615509
refined_0.02,0.0,0.66,0.34,0.6419400572776794
refined_0.02,0.0,0.68,0.32,0.6422356963157654
refined_0.02,0.0,0.7,0.3,0.6409425735473633
