stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,0.0,1.0,0.39105895161628723
coarse_0.10,0.1,0.0,0.9,0.6841363906860352
coarse_0.10,0.2,0.0,0.8,0.6841363906860352
coarse_0.10,0.3,0.0,0.7,0.6844427585601807
coarse_0.10,0.4,0.0,0.6,0.6858353614807129
coarse_0.10,0.5,0.0,0.5,0.6942752003669739
coarse_0.10,0.6,0.0,0.4,0.7104905843734741
coarse_0.10,0.7,0.0,0.3,0.7315158247947693
coarse_0.10,0.8,0.0,0.2,0.7461609840393066
coarse_0.10,0.9,0.0,0.1,0.7330567240715027
coarse_0.10,1.0,0.0,0.0,0.673134446144104
refined_0.02,0.7,0.0,0.3,0.7315158247947693
refined_0.02,0.72,0.0,0.28,0.7355961203575134
refined_0.02,0.74,0.0,0.26,0.7392113208770752
refined_0.02,0.76,0.0,0.24,0.7428754568099976
refined_0.02,0.78,0.0,0.22,0.743921160697937
refined_0.02,0.8,0.0,0.2,0.7461609840393066
refined_0.02,0.82,0.0,0.18,0.7460726499557495
refined_0.02,0.84,0.0,0.16,0.7449809312820435
refined_0.02,0.86,0.0,0.14,0.7448486089706421
refined_0.02,0.88,0.0,0.12,0.7417175769805908
refined_0.02,0.9,0.0,0.1,0.7330567240715027
