stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,0.0,1.0,0.38192686438560486
coarse_0.10,0.0,0.1,0.9,0.623105525970459
coarse_0.10,0.0,0.2,0.8,0.6239249110221863
coarse_0.10,0.0,0.3,0.7,0.6302440166473389
coarse_0.10,0.0,0.4,0.6,0.6387390494346619
coarse_0.10,0.0,0.5,0.5,0.6450932025909424
coarse_0.10,0.0,0.6,0.4,0.6516041159629822
coarse_0.10,0.0,0.7,0.3,0.6512605547904968
coarse_0.10,0.0,0.8,0.2,0.6484977602958679
coarse_0.10,0.0,0.9,0.1,0.6331319212913513
coarse_0.10,0.0,1.0,0.0,0.5317348837852478
coarse_0.10,0.1,0.0,0.9,0.6852637529373169
coarse_0.10,0.1,0.1,0.8,0.7174077033996582
coarse_0.10,0.1,0.2,0.7,0.7140143513679504
coarse_0.10,0.1,0.3,0.6,0.7167948484420776
coarse_0.10,0.1,0.4,0.5,0.7227047681808472
coarse_0.10,0.1,0.5,0.4,0.724333643913269
coarse_0.10,0.1,0.6,0.3,0.7293866872787476
coarse_0.10,0.1,0.7,0.2,0.7310985922813416
coarse_0.10,0.1,0.8,0.1,0.7277960777282715
coarse_0.10,0.1,0.9,0.0,0.6920993328094482
coarse_0.10,0.2,0.0,0.8,0.6852637529373169
coarse_0.10,0.2,0.1,0.7,0.7159847617149353
coarse_0.10,0.2,0.2,0.6,0.7274634838104248
coarse_0.10,0.2,0.3,0.5,0.7411321401596069
coarse_0.10,0.2,0.4,0.4,0.7475688457489014
coarse_0.10,0.2,0.5,0.3,0.7543456554412842
coarse_0.10,0.2,0.6,0.2,0.7631492614746094
coarse_0.10,0.2,0.7,0.1,0.7740459442138672
coarse_0.10,0.2,0.8,0.0,0.7389572262763977
coarse_0.10,0.3,0.0,0.7,0.6855708360671997
coarse_0.10,0.3,0.1,0.6,0.7166186571121216
coarse_0.10,0.3,0.2,0.5,0.7372726798057556
coarse_0.10,0.3,0.3,0.4,0.7566858530044556
coarse_0.10,0.3,0.4,0.3,0.7743558287620544
coarse_0.10,0.3,0.5,0.2,0.7898193001747131
coarse_0.10,0.3,0.6,0.1,0.8095037341117859
coarse_0.10,0.3,0.7,0.0,0.7736527919769287
coarse_0.10,0.4,0.0,0.6,0.687971293926239
coarse_0.10,0.4,0.1,0.5,0.7240723371505737
coarse_0.10,0.4,0.2,0.4,0.7525148987770081
coarse_0.10,0.4,0.3,0.3,0.7828384637832642
coarse_0.10,0.4,0.4,0.2,0.8071059584617615
coarse_0.10,0.4,0.5,0.1,0.8312258720397949
coarse_0.10,0.4,0.6,0.0,0.7993268966674805
coarse_0.10,0.5,0.0,0.5,0.6972631216049194
coarse_0.10,0.5,0.1,0.4,0.7430790662765503
coarse_0.10,0.5,0.2,0.3,0.7809364795684814
coarse_0.10,0.5,0.3,0.2,0.8096258640289307
coarse_0.10,0.5,0.4,0.1,0.8375293612480164
coarse_0.10,0.5,0.5,0.0,0.8127945065498352
coarse_0.10,0.6,0.0,0.4,0.7115163207054138
coarse_0.10,0.6,0.1,0.3,0.7698457837104797
coarse_0.10,0.6,0.2,0.2,0.8065608739852905
coarse_0.10,0.6,0.3,0.1,0.8347210884094238
coarse_0.10,0.6,0.4,0.0,0.8173784017562866
coarse_0.10,0.7,0.0,0.3,0.7322428822517395
coarse_0.10,0.7,0.1,0.2,0.7916033864021301
coarse_0.10,0.7,0.2,0.1,0.8239344954490662
coarse_0.10,0.7,0.3,0.0,0.8097730278968811
coarse_0.10,0.8,0.0,0.2,0.7448028922080994
coarse_0.10,0.8,0.1,0.1,0.7993476986885071
coarse_0.10,0.8,0.2,0.0,0.7940274477005005
coarse_0.10,0.9,0.0,0.1,0.7347431182861328
coarse_0.10,0.9,0.1,0.0,0.7567493319511414
coarse_0.10,1.0,0.0,0.0,0.6814998388290405
refined_0.02,0.4,0.4,0.2,0.8071059584617615
refined_0.02,0.4,0.42,0.18,0.8109531998634338
refined_0.02,0.4,0.44,0.16,0.8168473243713379
refined_0.02,0.4,0.46,0.14,0.8217668533325195
refined_0.02,0.4,0.48,0.12,0.8265511989593506
refined_0.02,0.4,0.5,0.1,0.8312258720397949
refined_0.02,0.42,0.38,0.2,0.809567928314209
refined_0.02,0.42,0.4,0.18,0.8140760660171509
refined_0.02,0.42,0.42,0.16,0.8187090158462524
refined_0.02,0.42,0.44,0.14,0.8235828876495361
refined_0.02,0.42,0.46,0.12,0.8282496333122253
refined_0.02,0.42,0.48,0.1,0.8319482207298279
refined_0.02,0.42,0.5,0.08,0.8360838890075684
refined_0.02,0.44,0.36,0.2,0.810080885887146
refined_0.02,0.44,0.38,0.18,0.8167917132377625
refined_0.02,0.44,0.4,0.16,0.8210750818252563
refined_0.02,0.44,0.42,0.14,0.8239090442657471
refined_0.02,0.44,0.44,0.12,0.8293275833129883
refined_0.02,0.44,0.46,0.1,0.832996129989624
refined_0.02,0.44,0.48,0.08,0.8364229798316956
refined_0.02,0.44,0.5,0.06,0.8342799544334412
refined_0.02,0.46,0.34,0.2,0.80967116355896
refined_0.02,0.46,0.36,0.18,0.816339373588562
refined_0.02,0.46,0.38,0.16,0.82293701171875
refined_0.02,0.46,0.4,0.14,0.8267467021942139
refined_0.02,0.46,0.42,0.12,0.8301616311073303
refined_0.02,0.46,0.44,0.1,0.8354333639144897
refined_0.02,0.46,0.46,0.08,0.8372666239738464
refined_0.02,0.46,0.48,0.06,0.8354708552360535
refined_0.02,0.46,0.5,0.04,0.8339633941650391
refined_0.02,0.48,0.32,0.2,0.810184895992279
refined_0.02,0.48,0.34,0.18,0.8171320557594299
refined_0.02,0.48,0.36,0.16,0.8216216564178467
refined_0.02,0.48,0.38,0.14,0.8279361724853516
refined_0.02,0.48,0.4,0.12,0.8317616581916809
refined_0.02,0.48,0.42,0.1,0.8372982144355774
refined_0.02,0.48,0.44,0.08,0.8380907773971558
refined_0.02,0.48,0.46,0.06,0.8372827172279358
refined_0.02,0.48,0.48,0.04,0.8338396549224854
refined_0.02,0.48,0.5,0.02,0.8267537951469421
refined_0.02,0.5,0.3,0.2,0.8096258640289307
refined_0.02,0.5,0.32,0.18,0.8158767223358154
refined_0.02,0.5,0.34,0.16,0.8216466903686523
refined_0.02,0.5,0.36,0.14,0.8272106647491455
refined_0.02,0.5,0.38,0.12,0.8302172422409058
refined_0.02,0.5,0.4,0.1,0.8375293612480164
refined_0.02,0.5,0.42,0.08,0.8398419618606567
refined_0.02,0.5,0.44,0.06,0.838981032371521
refined_0.02,0.5,0.46,0.04,0.8362473845481873
refined_0.02,0.5,0.48,0.02,0.828602135181427
refined_0.02,0.5,0.5,0.0,0.8127945065498352
refined_0.02,0.52,0.3,0.18,0.8158586025238037
refined_0.02,0.52,0.32,0.16,0.8211570978164673
refined_0.02,0.52,0.34,0.14,0.8263874650001526
refined_0.02,0.52,0.36,0.12,0.8314599990844727
refined_0.02,0.52,0.38,0.1,0.8368354439735413
refined_0.02,0.52,0.4,0.08,0.8384547829627991
refined_0.02,0.52,0.42,0.06,0.8388267755508423
refined_0.02,0.52,0.44,0.04,0.8367195129394531
refined_0.02,0.52,0.46,0.02,0.8295661211013794
refined_0.02,0.52,0.48,0.0,0.8137568831443787
refined_0.02,0.54,0.3,0.16,0.819625973701477
refined_0.02,0.54,0.32,0.14,0.826151967048645
refined_0.02,0.54,0.34,0.12,0.8325468897819519
refined_0.02,0.54,0.36,0.1,0.8353041410446167
refined_0.02,0.54,0.38,0.08,0.8389778137207031
refined_0.02,0.54,0.4,0.06,0.8382449150085449
refined_0.02,0.54,0.42,0.04,0.8362179398536682
refined_0.02,0.54,0.44,0.02,0.8296987414360046
refined_0.02,0.54,0.46,0.0,0.8159148097038269
refined_0.02,0.56,0.3,0.14,0.8264429569244385
refined_0.02,0.56,0.32,0.12,0.8311707377433777
refined_0.02,0.56,0.34,0.1,0.835393488407135
refined_0.02,0.56,0.36,0.08,0.8384500741958618
refined_0.02,0.56,0.38,0.06,0.8382797241210938
refined_0.02,0.56,0.4,0.04,0.8359493017196655
refined_0.02,0.56,0.42,0.02,0.8282809257507324
refined_0.02,0.56,0.44,0.0,0.8144022226333618
refined_0.02,0.58,0.3,0.12,0.8298657536506653
refined_0.02,0.58,0.32,0.1,0.8334062695503235
refined_0.02,0.58,0.34,0.08,0.8382871747016907
refined_0.02,0.58,0.36,0.06,0.8376088738441467
refined_0.02,0.58,0.38,0.04,0.8356080055236816
refined_0.02,0.58,0.4,0.02,0.827713668346405
refined_0.02,0.58,0.42,0.0,0.8154186606407166
refined_0.02,0.6,0.3,0.1,0.8347210884094238
refined_0.02,0.6,0.32,0.08,0.8382163643836975
refined_0.02,0.6,0.34,0.06,0.8360366821289062
refined_0.02,0.6,0.36,0.04,0.834492027759552
