stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,0.0,1.0,0.38192686438560486
coarse_0.10,0.0,0.1,0.9,0.623105525970459
coarse_0.10,0.0,0.2,0.8,0.6239249110221863
coarse_0.10,0.0,0.3,0.7,0.6302440166473389
coarse_0.10,0.0,0.4,0.6,0.6387390494346619
coarse_0.10,0.0,0.5,0.5,0.6450932025909424
coarse_0.10,0.0,0.6,0.4,0.6516041159629822
coarse_0.10,0.0,0.7,0.3,0.6512605547904968
coarse_0.10,0.0,0.8,0.2,0.6484977602958679
coarse_0.10,0.0,0.9,0.1,0.6331319212913513
coarse_0.10,0.0,1.0,0.0,0.5317348837852478
refined_0.02,0.0,0.5,0.5,0.6450932025909424
refined_0.02,0.0,0.52,0.48,0.6458290219306946
refined_0.02,0.0,0.54,0.46,0.648220956325531
refined_0.02,0.0,0.56,0.44,0.6486586928367615
refined_0.02,0.0,0.58,0.42,0.6495740413665771
refined_0.02,0.0,0.6,0.4,0.6516041159629822
refined_0.02,0.0,0.62,0.38,0.6527451276779175
refined_0.02,0.0,0.64,0.36,0.651947557926178
refined_0.02,0.0,0.66,0.34,0.6514393091201782
refined_0.02,0.0,0.68,0.32,0.6523071527481079
refined_0.02,0.0,0.7,0.3,0.6512605547904968
