stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,0.0,1.0,0.3696189522743225
coarse_0.10,0.0,0.1,0.9,0.6180574893951416
coarse_0.10,0.0,0.2,0.8,0.6190060377120972
coarse_0.10,0.0,0.3,0.7,0.6252058744430542
coarse_0.10,0.0,0.4,0.6,0.6335040330886841
coarse_0.10,0.0,0.5,0.5,0.6393066644668579
coarse_0.10,0.0,0.6,0.4,0.6442762017250061
coarse_0.10,0.0,0.7,0.3,0.644161581993103
coarse_0.10,0.0,0.8,0.2,0.6360749006271362
coarse_0.10,0.0,0.9,0.1,0.6150400638580322
coarse_0.10,0.0,1.0,0.0,0.5204827189445496
coarse_0.10,0.1,0.0,0.9,0.6858363151550293
coarse_0.10,0.1,0.1,0.8,0.715025782585144
coarse_0.10,0.1,0.2,0.7,0.7098417282104492
coarse_0.10,0.1,0.3,0.6,0.7128709554672241
coarse_0.10,0.1,0.4,0.5,0.7170935869216919
coarse_0.10,0.1,0.5,0.4,0.7199273109436035
coarse_0.10,0.1,0.6,0.3,0.7233755588531494
coarse_0.10,0.1,0.7,0.2,0.7211475372314453
coarse_0.10,0.1,0.8,0.1,0.7123186588287354
coarse_0.10,0.1,0.9,0.0,0.6756138801574707
coarse_0.10,0.2,0.0,0.8,0.6858363151550293
coarse_0.10,0.2,0.1,0.7,0.7155786752700806
coarse_0.10,0.2,0.2,0.6,0.7248612642288208
coarse_0.10,0.2,0.3,0.5,0.7384098768234253
coarse_0.10,0.2,0.4,0.4,0.7437657117843628
coarse_0.10,0.2,0.5,0.3,0.7491330504417419
coarse_0.10,0.2,0.6,0.2,0.7570275664329529
coarse_0.10,0.2,0.7,0.1,0.7617085576057434
coarse_0.10,0.2,0.8,0.0,0.7285181879997253
coarse_0.10,0.3,0.0,0.7,0.6861449480056763
coarse_0.10,0.3,0.1,0.6,0.7168153524398804
coarse_0.10,0.3,0.2,0.5,0.7355472445487976
coarse_0.10,0.3,0.3,0.4,0.7548209428787231
coarse_0.10,0.3,0.4,0.3,0.7738968729972839
coarse_0.10,0.3,0.5,0.2,0.7857599258422852
coarse_0.10,0.3,0.6,0.1,0.7993689775466919
coarse_0.10,0.3,0.7,0.0,0.7687631845474243
coarse_0.10,0.4,0.0,0.6,0.6880781650543213
coarse_0.10,0.4,0.1,0.5,0.7239022850990295
coarse_0.10,0.4,0.2,0.4,0.7538176774978638
coarse_0.10,0.4,0.3,0.3,0.78142249584198
coarse_0.10,0.4,0.4,0.2,0.8078431487083435
coarse_0.10,0.4,0.5,0.1,0.8269160389900208
coarse_0.10,0.4,0.6,0.0,0.7962520718574524
coarse_0.10,0.5,0.0,0.5,0.6988440752029419
coarse_0.10,0.5,0.1,0.4,0.7427570223808289
coarse_0.10,0.5,0.2,0.3,0.7832793593406677
coarse_0.10,0.5,0.3,0.2,0.8125534057617188
coarse_0.10,0.5,0.4,0.1,0.8368287682533264
coarse_0.10,0.5,0.5,0.0,0.8139642477035522
coarse_0.10,0.6,0.0,0.4,0.7146108150482178
coarse_0.10,0.6,0.1,0.3,0.7711491584777832
coarse_0.10,0.6,0.2,0.2,0.8105036616325378
coarse_0.10,0.6,0.3,0.1,0.8387917280197144
coarse_0.10,0.6,0.4,0.0,0.8203673362731934
coarse_0.10,0.7,0.0,0.3,0.7354508638381958
coarse_0.10,0.7,0.1,0.2,0.7945215702056885
coarse_0.10,0.7,0.2,0.1,0.8314948081970215
coarse_0.10,0.7,0.3,0.0,0.8162698745727539
coarse_0.10,0.8,0.0,0.2,0.751805305480957
coarse_0.10,0.8,0.1,0.1,0.8066710233688354
coarse_0.10,0.8,0.2,0.0,0.8003716468811035
coarse_0.10,0.9,0.0,0.1,0.7426226735115051
coarse_0.10,0.9,0.1,0.0,0.762406051158905
coarse_0.10,1.0,0.0,0.0,0.6843297481536865
refined_0.02,0.5,0.3,0.2,0.8125534057617188
refined_0.02,0.5,0.32,0.18,0.8185777068138123
refined_0.02,0.5,0.34,0.16,0.8238341808319092
refined_0.02,0.5,0.36,0.14,0.8295964598655701
refined_0.02,0.5,0.38,0.12,0.8327502608299255
refined_0.02,0.5,0.4,0.1,0.8368287682533264
refined_0.02,0.52,0.28,0.2,0.8132854104042053
refined_0.02,0.52,0.3,0.18,0.8187857270240784
refined_0.02,0.52,0.32,0.16,0.8237742781639099
refined_0.02,0.52,0.34,0.14,0.8307111263275146
refined_0.02,0.52,0.36,0.12,0.8342055082321167
refined_0.02,0.52,0.38,0.1,0.8361712098121643
refined_0.02,0.52,0.4,0.08,0.8377787470817566
refined_0.02,0.54,0.26,0.2,0.8139308094978333
refined_0.02,0.54,0.28,0.18,0.8190357685089111
refined_0.02,0.54,0.3,0.16,0.8239372372627258
refined_0.02,0.54,0.32,0.14,0.8299817442893982
refined_0.02,0.54,0.34,0.12,0.8350521326065063
refined_0.02,0.54,0.36,0.1,0.8376408815383911
refined_0.02,0.54,0.38,0.08,0.8389664888381958
refined_0.02,0.54,0.4,0.06,0.8387940526008606
refined_0.02,0.56,0.24,0.2,0.8129638433456421
refined_0.02,0.56,0.26,0.18,0.8184383511543274
refined_0.02,0.56,0.28,0.16,0.8234110474586487
refined_0.02,0.56,0.3,0.14,0.8301998376846313
refined_0.02,0.56,0.32,0.12,0.8352686166763306
refined_0.02,0.56,0.34,0.1,0.8388195633888245
refined_0.02,0.56,0.36,0.08,0.8403018712997437
refined_0.02,0.56,0.38,0.06,0.8394017815589905
refined_0.02,0.56,0.4,0.04,0.8386584520339966
refined_0.02,0.58,0.22,0.2,0.8109371662139893
refined_0.02,0.58,0.24,0.18,0.8181526064872742
refined_0.02,0.58,0.26,0.16,0.8237302303314209
refined_0.02,0.58,0.28,0.14,0.8285043239593506
refined_0.02,0.58,0.3,0.12,0.8338100910186768
refined_0.02,0.58,0.32,0.1,0.8378485441207886
refined_0.02,0.58,0.34,0.08,0.8420073986053467
refined_0.02,0.58,0.36,0.06,0.8401534557342529
refined_0.02,0.58,0.38,0.04,0.8381301164627075
refined_0.02,0.58,0.4,0.02,0.8317142724990845
refined_0.02,0.6,0.2,0.2,0.8105036616325378
refined_0.02,0.6,0.22,0.18,0.8170920014381409
refined_0.02,0.6,0.24,0.16,0.8253059983253479
refined_0.02,0.6,0.26,0.14,0.8293976783752441
refined_0.02,0.6,0.28,0.12,0.8334438800811768
refined_0.02,0.6,0.3,0.1,0.8387917280197144
refined_0.02,0.6,0.32,0.08,0.8422169089317322
refined_0.02,0.6,0.34,0.06,0.8410434126853943
refined_0.02,0.6,0.36,0.04,0.8383718729019165
refined_0.02,0.6,0.38,0.02,0.83217453956604
refined_0.02,0.6,0.4,0.0,0.8203673362731934
refined_0.02,0.62,0.2,0.18,0.8160075545310974
refined_0.02,0.62,0.22,0.16,0.8216681480407715
refined_0.02,0.62,0.24,0.14,0.8274499177932739
refined_0.02,0.62,0.26,0.12,0.8341249227523804
refined_0.02,0.62,0.28,0.1,0.8386261463165283
refined_0.02,0.62,0.3,0.08,0.8408800363540649
refined_0.02,0.62,0.32,0.06,0.8399826288223267
refined_0.02,0.62,0.34,0.04,0.8382081389427185
refined_0.02,0.62,0.36,0.02,0.8315397500991821
refined_0.02,0.62,0.38,0.0,0.8196500539779663
refined_0.02,0.64,0.2,0.16,0.8214641809463501
refined_0.02,0.64,0.22,0.14,0.8256676197052002
refined_0.02,0.64,0.24,0.12,0.8324841260910034
refined_0.02,0.64,0.26,0.1,0.8372817039489746
refined_0.02,0.64,0.28,0.08,0.8416072130203247
refined_0.02,0.64,0.3,0.06,0.8404074907302856
refined_0.02,0.64,0.32,0.04,0.8391664028167725
refined_0.02,0.64,0.34,0.02,0.8313717842102051
refined_0.02,0.64,0.36,0.0,0.8197921514511108
refined_0.02,0.66,0.2,0.14,0.8241513967514038
refined_0.02,0.66,0.22,0.12,0.831346333026886
refined_0.02,0.66,0.24,0.1,0.8354536294937134
refined_0.02,0.66,0.26,0.08,0.8391752243041992
refined_0.02,0.66,0.28,0.06,0.8404800891876221
refined_0.02,0.66,0.3,0.04,0.8384859561920166
refined_0.02,0.66,0.32,0.02,0.8284961581230164
refined_0.02,0.66,0.34,0.0,0.8179915547370911
refined_0.02,0.68,0.2,0.12,0.8301069140434265
refined_0.02,0.68,0.22,0.1,0.8334364295005798
refined_0.02,0.68,0.24,0.08,0.8371587991714478
refined_0.02,0.68,0.26,0.06,0.8366744518280029
refined_0.02,0.68,0.28,0.04,0.8367716670036316
refined_0.02,0.68,0.3,0.02,0.8286375403404236
refined_0.02,0.68,0.32,0.0,0.8166487216949463
refined_0.02,0.7,0.2,0.1,0.8314948081970215
refined_0.02,0.7,0.22,0.08,0.8340939879417419
refined_0.02,0.7,0.24,0.06,0.8332926630973816
refined_0.02,0.7,0.26,0.04,0.8331795334815979
refined_0.02,0.7,0.28,0.02,0.8254669308662415
refined_0.02,0.7,0.3,0.0,0.8162698745727539
