stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,0.0,1.0,0.36751529574394226
coarse_0.10,0.0,0.1,0.9,0.6052991151809692
coarse_0.10,0.0,0.2,0.8,0.6062115430831909
coarse_0.10,0.0,0.3,0.7,0.6121835708618164
coarse_0.10,0.0,0.4,0.6,0.6214799880981445
coarse_0.10,0.0,0.5,0.5,0.627897322177887
coarse_0.10,0.0,0.6,0.4,0.6327435970306396
coarse_0.10,0.0,0.7,0.3,0.6345131397247314
coarse_0.10,0.0,0.8,0.2,0.6270493865013123
coarse_0.10,0.0,0.9,0.1,0.6090894341468811
coarse_0.10,0.0,1.0,0.0,0.5174033641815186
refined_0.02,0.0,0.6,0.4,0.6327435970306396
refined_0.02,0.0,0.62,0.38,0.6334990859031677
refined_0.02,0.0,0.64,0.36,0.6339845657348633
refined_0.02,0.0,0.66,0.34,0.6337127685546875
refined_0.02,0.0,0.68,0.32,0.6346685886383057
refined_0.02,0.0,0.7,0.3,0.6345131397247314
refined_0.02,0.0,0.72,0.28,0.6332889795303345
refined_0.02,0.0,0.74,0.26,0.6328842639923096
refined_0.02,0.0,0.76,0.24,0.6299178600311279
refined_0.02,0.0,0.78,0.22,0.62788987159729
refined_0.02,0.0,0.8,0.2,0.6270493865013123
