stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,0.0,1.0,0.39105895161628723
coarse_0.10,0.0,0.1,0.9,0.6257168650627136
coarse_0.10,0.0,0.2,0.8,0.6263916492462158
coarse_0.10,0.0,0.3,0.7,0.6314274668693542
coarse_0.10,0.0,0.4,0.6,0.6388164758682251
coarse_0.10,0.0,0.5,0.5,0.643692672252655
coarse_0.10,0.0,0.6,0.4,0.6483971476554871
coarse_0.10,0.0,0.7,0.3,0.6480708718299866
coarse_0.10,0.0,0.8,0.2,0.6404489278793335
coarse_0.10,0.0,0.9,0.1,0.6219860911369324
coarse_0.10,0.0,1.0,0.0,0.5222022533416748
coarse_0.10,0.1,0.0,0.9,0.6841363906860352
coarse_0.10,0.1,0.1,0.8,0.7172104120254517
coarse_0.10,0.1,0.2,0.7,0.710854709148407
coarse_0.10,0.1,0.3,0.6,0.7122190594673157
coarse_0.10,0.1,0.4,0.5,0.715501606464386
coarse_0.10,0.1,0.5,0.4,0.7193220257759094
coarse_0.10,0.1,0.6,0.3,0.7216495871543884
coarse_0.10,0.1,0.7,0.2,0.7176402807235718
coarse_0.10,0.1,0.8,0.1,0.7140693068504333
coarse_0.10,0.1,0.9,0.0,0.6714998483657837
coarse_0.10,0.2,0.0,0.8,0.6841363906860352
coarse_0.10,0.2,0.1,0.7,0.7170664668083191
coarse_0.10,0.2,0.2,0.6,0.7243098616600037
coarse_0.10,0.2,0.3,0.5,0.7367416620254517
coarse_0.10,0.2,0.4,0.4,0.7420153617858887
coarse_0.10,0.2,0.5,0.3,0.7457880973815918
coarse_0.10,0.2,0.6,0.2,0.7507323026657104
coarse_0.10,0.2,0.7,0.1,0.7571868300437927
coarse_0.10,0.2,0.8,0.0,0.7203115224838257
coarse_0.10,0.3,0.0,0.7,0.6844427585601807
coarse_0.10,0.3,0.1,0.6,0.7177032828330994
coarse_0.10,0.3,0.2,0.5,0.7346539497375488
coarse_0.10,0.3,0.3,0.4,0.751446008682251
coarse_0.10,0.3,0.4,0.3,0.7690566182136536
coarse_0.10,0.3,0.5,0.2,0.7829234004020691
coarse_0.10,0.3,0.6,0.1,0.7937694787979126
coarse_0.10,0.3,0.7,0.0,0.7558298707008362
coarse_0.10,0.4,0.0,0.6,0.6858353614807129
coarse_0.10,0.4,0.1,0.5,0.7229436635971069
coarse_0.10,0.4,0.2,0.4,0.7505506277084351
coarse_0.10,0.4,0.3,0.3,0.7786051034927368
coarse_0.10,0.4,0.4,0.2,0.8038339614868164
coarse_0.10,0.4,0.5,0.1,0.8188837766647339
coarse_0.10,0.4,0.6,0.0,0.7824772596359253
coarse_0.10,0.5,0.0,0.5,0.6942752003669739
coarse_0.10,0.5,0.1,0.4,0.7406794428825378
coarse_0.10,0.5,0.2,0.3,0.7801015377044678
coarse_0.10,0.5,0.3,0.2,0.8087648153305054
coarse_0.10,0.5,0.4,0.1,0.8278369903564453
coarse_0.10,0.5,0.5,0.0,0.7987968921661377
coarse_0.10,0.6,0.0,0.4,0.7104905843734741
coarse_0.10,0.6,0.1,0.3,0.7694375514984131
coarse_0.10,0.6,0.2,0.2,0.8077547550201416
coarse_0.10,0.6,0.3,0.1,0.8285000920295715
coarse_0.10,0.6,0.4,0.0,0.8053092360496521
coarse_0.10,0.7,0.0,0.3,0.7315158247947693
coarse_0.10,0.7,0.1,0.2,0.7928920984268188
coarse_0.10,0.7,0.2,0.1,0.8197482824325562
coarse_0.10,0.7,0.3,0.0,0.8012373447418213
coarse_0.10,0.8,0.0,0.2,0.7461609840393066
coarse_0.10,0.8,0.1,0.1,0.7970350980758667
coarse_0.10,0.8,0.2,0.0,0.7869104743003845
coarse_0.10,0.9,0.0,0.1,0.7330567240715027
coarse_0.10,0.9,0.1,0.0,0.7488282322883606
coarse_0.10,1.0,0.0,0.0,0.673134446144104
refined_0.02,0.5,0.3,0.2,0.8087648153305054
refined_0.02,0.5,0.32,0.18,0.8130507469177246
refined_0.02,0.5,0.34,0.16,0.8188122510910034
refined_0.02,0.5,0.36,0.14,0.8233902454376221
refined_0.02,0.5,0.38,0.12,0.8235198855400085
refined_0.02,0.5,0.4,0.1,0.8278369903564453
refined_0.02,0.52,0.28,0.2,0.8096240758895874
refined_0.02,0.52,0.3,0.18,0.8141617774963379
refined_0.02,0.52,0.32,0.16,0.8177253007888794
refined_0.02,0.52,0.34,0.14,0.8233624696731567
refined_0.02,0.52,0.36,0.12,0.8251073956489563
refined_0.02,0.52,0.38,0.1,0.8275693655014038
refined_0.02,0.52,0.4,0.08,0.8278528451919556
refined_0.02,0.54,0.26,0.2,0.8101561069488525
refined_0.02,0.54,0.28,0.18,0.8144354224205017
refined_0.02,0.54,0.3,0.16,0.8183712959289551
refined_0.02,0.54,0.32,0.14,0.8228919506072998
refined_0.02,0.54,0.34,0.12,0.8245862126350403
refined_0.02,0.54,0.36,0.1,0.8270379304885864
refined_0.02,0.54,0.38,0.08,0.8293295502662659
refined_0.02,0.54,0.4,0.06,0.8275458812713623
