stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,0.0,1.0,0.3696189522743225
coarse_0.10,0.0,0.1,0.9,0.6180574893951416
coarse_0.10,0.0,0.2,0.8,0.6190060377120972
coarse_0.10,0.0,0.3,0.7,0.6252058744430542
coarse_0.10,0.0,0.4,0.6,0.6335040330886841
coarse_0.10,0.0,0.5,0.5,0.6393066644668579
coarse_0.10,0.0,0.6,0.4,0.6442762017250061
coarse_0.10,0.0,0.7,0.3,0.644161581993103
coarse_0.10,0.0,0.8,0.2,0.6360749006271362
coarse_0.10,0.0,0.9,0.1,0.6150400638580322
coarse_0.10,0.0,1.0,0.0,0.5204827189445496
refined_0.02,0.0,0.5,0.5,0.6393066644668579
refined_0.02,0.0,0.52,0.48,0.6399369239807129
refined_0.02,0.0,0.54,0.46,0.6407256126403809
refined_0.02,0.0,0.56,0.44,0.6410644054412842
refined_0.02,0.0,0.58,0.42,0.6428142786026001
refined_0.02,0.0,0.6,0.4,0.6442762017250061
refined_0.02,0.0,0.62,0.38,0.6445741653442383
refined_0.02,0.0,0.64,0.36,0.6445592641830444
refined_0.02,0.0,0.66,0.34,0.6449745893478394
refined_0.02,0.0,0.68,0.32,0.6450103521347046
refined_0.02,0.0,0.7,0.3,0.644161581993103
