stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,0.0,1.0,0.3818496763706207
coarse_0.10,0.0,0.1,0.9,0.6196891069412231
coarse_0.10,0.0,0.2,0.8,0.6202399134635925
coarse_0.10,0.0,0.3,0.7,0.6253528594970703
coarse_0.10,0.0,0.4,0.6,0.6337371468544006
coarse_0.10,0.0,0.5,0.5,0.6393051147460938
coarse_0.10,0.0,0.6,0.4,0.6454179286956787
coarse_0.10,0.0,0.7,0.3,0.6468071341514587
coarse_0.10,0.0,0.8,0.2,0.6429219245910645
coarse_0.10,0.0,0.9,0.1,0.6248326301574707
coarse_0.10,0.0,1.0,0.0,0.5244338512420654
coarse_0.10,0.1,0.0,0.9,0.6936671733856201
coarse_0.10,0.1,0.1,0.8,0.7200914025306702
coarse_0.10,0.1,0.2,0.7,0.7096807956695557
coarse_0.10,0.1,0.3,0.6,0.7131386995315552
coarse_0.10,0.1,0.4,0.5,0.715747594833374
coarse_0.10,0.1,0.5,0.4,0.7205315828323364
coarse_0.10,0.1,0.6,0.3,0.7252487540245056
coarse_0.10,0.1,0.7,0.2,0.7270022630691528
coarse_0.10,0.1,0.8,0.1,0.7228541374206543
coarse_0.10,0.1,0.9,0.0,0.682639479637146
coarse_0.10,0.2,0.0,0.8,0.6936671733856201
coarse_0.10,0.2,0.1,0.7,0.7178620100021362
coarse_0.10,0.2,0.2,0.6,0.7285917401313782
coarse_0.10,0.2,0.3,0.5,0.7373839616775513
coarse_0.10,0.2,0.4,0.4,0.7435169816017151
coarse_0.10,0.2,0.5,0.3,0.7508717179298401
coarse_0.10,0.2,0.6,0.2,0.7587898373603821
coarse_0.10,0.2,0.7,0.1,0.7700676918029785
coarse_0.10,0.2,0.8,0.0,0.7349752187728882
coarse_0.10,0.3,0.0,0.7,0.6939742565155029
coarse_0.10,0.3,0.1,0.6,0.7202429175376892
coarse_0.10,0.3,0.2,0.5,0.7386091351509094
coarse_0.10,0.3,0.3,0.4,0.7587263584136963
coarse_0.10,0.3,0.4,0.3,0.7727773189544678
coarse_0.10,0.3,0.5,0.2,0.7886226773262024
coarse_0.10,0.3,0.6,0.1,0.8059202432632446
coarse_0.10,0.3,0.7,0.0,0.7731044292449951
coarse_0.10,0.4,0.0,0.6,0.6964314579963684
coarse_0.10,0.4,0.1,0.5,0.7283469438552856
coarse_0.10,0.4,0.2,0.4,0.7542159557342529
coarse_0.10,0.4,0.3,0.3,0.7842420339584351
coarse_0.10,0.4,0.4,0.2,0.8130660653114319
coarse_0.10,0.4,0.5,0.1,0.831849217414856
coarse_0.10,0.4,0.6,0.0,0.7970139980316162
coarse_0.10,0.5,0.0,0.5,0.7046793103218079
coarse_0.10,0.5,0.1,0.4,0.7481979727745056
coarse_0.10,0.5,0.2,0.3,0.7867123484611511
coarse_0.10,0.5,0.3,0.2,0.8158300518989563
coarse_0.10,0.5,0.4,0.1,0.8406772613525391
coarse_0.10,0.5,0.5,0.0,0.8143597841262817
coarse_0.10,0.6,0.0,0.4,0.7213112711906433
coarse_0.10,0.6,0.1,0.3,0.7772955894470215
coarse_0.10,0.6,0.2,0.2,0.8138372302055359
