stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,0.0,1.0,0.36751529574394226
coarse_0.10,0.0,0.1,0.9,0.6049333214759827
coarse_0.10,0.0,0.2,0.8,0.6058169603347778
coarse_0.10,0.0,0.3,0.7,0.6115655303001404
coarse_0.10,0.0,0.4,0.6,0.6211054921150208
coarse_0.10,0.0,0.5,0.5,0.6275544166564941
coarse_0.10,0.0,0.6,0.4,0.6314467191696167
coarse_0.10,0.0,0.7,0.3,0.6345213055610657
coarse_0.10,0.0,0.8,0.2,0.6281828880310059
coarse_0.10,0.0,0.9,0.1,0.608333945274353
coarse_0.10,0.0,1.0,0.0,0.5181017518043518
refined_0.02,0.0,0.6,0.4,0.6314467191696167
refined_0.02,0.0,0.62,0.38,0.6328462362289429
refined_0.02,0.0,0.64,0.36,0.6333314180374146
refined_0.02,0.0,0.66,0.34,0.6328539848327637
refined_0.02,0.0,0.68,0.32,0.6335771679878235
refined_0.02,0.0,0.7,0.3,0.6345213055610657
refined_0.02,0.0,0.72,0.28,0.6327769756317139
refined_0.02,0.0,0.74,0.26,0.6319105625152588
refined_0.02,0.0,0.76,0.24,0.6304556727409363
refined_0.02,0.0,0.78,0.22,0.6281683444976807
refined_0.02,0.0,0.8,0.2,0.6281828880310059
