stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,0.0,1.0,0.39105895161628723
coarse_0.10,0.0,0.1,0.9,0.6246835589408875
coarse_0.10,0.0,0.2,0.8,0.6253292560577393
coarse_0.10,0.0,0.3,0.7,0.6301251649856567
coarse_0.10,0.0,0.4,0.6,0.6377072334289551
coarse_0.10,0.0,0.5,0.5,0.6423527002334595
coarse_0.10,0.0,0.6,0.4,0.6460409760475159
coarse_0.10,0.0,0.7,0.3,0.64713054895401
coarse_0.10,0.0,0.8,0.2,0.6397895812988281
coarse_0.10,0.0,0.9,0.1,0.6205126047134399
coarse_0.10,0.0,1.0,0.0,0.5230391621589661
refined_0.02,0.0,0.6,0.4,0.6460409760475159
refined_0.02,0.0,0.62,0.38,0.6473890542984009
refined_0.02,0.0,0.64,0.36,0.6477211713790894
refined_0.02,0.0,0.66,0.34,0.6468875408172607
refined_0.02,0.0,0.68,0.32,0.6473144292831421
refined_0.02,0.0,0.7,0.3,0.64713054895401
refined_0.02,0.0,0.72,0.28,0.6442750096321106
refined_0.02,0.0,0.74,0.26,0.6425749063491821
refined_0.02,0.0,0.76,0.24,0.641816258430481
refined_0.02,0.0,0.78,0.22,0.6400907039642334
refined_0.02,0.0,0.8,0.2,0.6397895812988281
