stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,0.0,1.0,0.3696189522743225
coarse_0.10,0.0,0.1,0.9,0.6173436045646667
coarse_0.10,0.0,0.2,0.8,0.6182633638381958
coarse_0.10,0.0,0.3,0.7,0.6242717504501343
coarse_0.10,0.0,0.4,0.6,0.6326513886451721
coarse_0.10,0.0,0.5,0.5,0.6383123993873596
coarse_0.10,0.0,0.6,0.4,0.6425961852073669
coarse_0.10,0.0,0.7,0.3,0.6437203884124756
coarse_0.10,0.0,0.8,0.2,0.636756956577301
coarse_0.10,0.0,0.9,0.1,0.6149890422821045
coarse_0.10,0.0,1.0,0.0,0.5220478773117065
refined_0.02,0.0,0.6,0.4,0.6425961852073669
refined_0.02,0.0,0.62,0.38,0.6439481973648071
refined_0.02,0.0,0.64,0.36,0.64366614818573
refined_0.02,0.0,0.66,0.34,0.642672598361969
refined_0.02,0.0,0.68,0.32,0.6434044241905212
refined_0.02,0.0,0.7,0.3,0.6437203884124756
refined_0.02,0.0,0.72,0.28,0.6423507928848267
refined_0.02,0.0,0.74,0.26,0.6416319608688354
refined_0.02,0.0,0.76,0.24,0.6410388350486755
refined_0.02,0.0,0.78,0.22,0.6387627124786377
refined_0.02,0.0,0.8,0.2,0.636756956577301
