stage,text_score,joint_entity_score,phrase_score,mean_inner_mrr_at_10
coarse_0.10,0.0,1.0,0.0,0.5220478773117065
coarse_0.10,0.1,0.9,0.0,0.6764546632766724
coarse_0.10,0.2,0.8,0.0,0.7289751172065735
coarse_0.10,0.3,0.7,0.0,0.7713137269020081
coarse_0.10,0.4,0.6,0.0,0.7976646423339844
coarse_0.10,0.5,0.5,0.0,0.8151997327804565
coarse_0.10,0.6,0.4,0.0,0.8209750056266785
coarse_0.10,0.7,0.3,0.0,0.816172182559967
coarse_0.10,0.8,0.2,0.0,0.8011870384216309
coarse_0.10,0.9,0.1,0.0,0.7620346546173096
coarse_0.10,1.0,0.0,0.0,0.6843297481536865
refined_0.02,0.5,0.5,0.0,0.8151997327804565
refined_0.02,0.52,0.48,0.0,0.8165749311447144
refined_0.02,0.54,0.46,0.0,0.8200339078903198
refined_0.02,0.56,0.44,0.0,0.8194819688796997
refined_0.02,0.58,0.42,0.0,0.8191716074943542
refined_0.02,0.6,0.4,0.0,0.8209750056266785
refined_0.02,0.62,0.38,0.0,0.8200231194496155
refined_0.02,0.64,0.36,0.0,0.8187642097473145
refined_0.02,0.66,0.34,0.0,0.818084180355072
refined_0.02,0.68,0.32,0.0,0.817887008190155
refined_0.02,0.7,0.3,0.0,0.816172182559967
