subset,model,k,metric,value_mean,value_std
unchanged,WithoutEntity,3,Strict-MRR,0.76150061500615,0.0
unchanged,WithoutEntity,3,Strict-Recall,0.825830258302583,0.0
unchanged,WithoutEntity,3,nDCG,0.5871260820955165,0.0
unchanged,WithoutEntity,4,Strict-Hit,0.8494464944649446,0.0
unchanged,WithoutEntity,4,Strict-MRR,0.7674046740467405,0.0
unchanged,WithoutEntity,4,Strict-Recall,0.8494464944649446,0.0
unchanged,WithoutEntity,4,nDCG,0.599076515328275,0.0
unchanged,WithoutEntity,5,Strict-Hit,0.8619926199261992,0.0
unchanged,WithoutEntity,5,Strict-MRR,0.7699138991389914,0.0
unchanged,WithoutEntity,5,Strict-Recall,0.8619926199261992,0.0
unchanged,WithoutEntity,5,nDCG,0.6052793351105917,0.0
unchanged,WithoutEntity,6,Strict-Hit,0.8723247232472323,0.0
unchanged,WithoutEntity,6,Strict-MRR,0.7716359163591635,0.0
unchanged,WithoutEntity,6,Strict-Recall,0.8723247232472323,0.0
unchanged,WithoutEntity,6,nDCG,0.6104681237237237,0.0
unchanged,WithoutEntity,7,Strict-Hit,0.8848708487084872,0.0
unchanged,WithoutEntity,7,Strict-MRR,0.7734282199964856,0.0
unchanged,WithoutEntity,7,Strict-Recall,0.8848708487084872,0.0
unchanged,WithoutEntity,7,nDCG,0.6150197049884671,0.0
unchanged,WithoutEntity,8,Strict-Hit,0.8937269372693727,0.0
unchanged,WithoutEntity,8,Strict-MRR,0.7745352310665964,0.0
unchanged,WithoutEntity,8,Strict-Recall,0.8937269372693727,0.0
unchanged,WithoutEntity,8,nDCG,0.6186768396052275,0.0
unchanged,WithoutEntity,9,Strict-Hit,0.8981549815498155,0.0
unchanged,WithoutEntity,9,Strict-MRR,0.7750272359866455,0.0
unchanged,WithoutEntity,9,Strict-Recall,0.8981549815498155,0.0
unchanged,WithoutEntity,9,nDCG,0.620476851729677,0.0
unchanged,WithoutEntity,10,Strict-Hit,0.903321033210332,0.0
unchanged,WithoutEntity,10,Strict-MRR,0.7755438411526973,0.0
unchanged,WithoutEntity,10,Strict-Recall,0.903321033210332,0.0
unchanged,WithoutEntity,10,nDCG,0.6222916304939728,0.0
unchanged,WithoutPhrase,1,Strict-Hit,0.7431734317343174,0.0012782662786486006
unchanged,WithoutPhrase,1,Strict-MRR,0.7431734317343174,0.0012782662786486006
unchanged,WithoutPhrase,1,Strict-Recall,0.7431734317343174,0.0012782662786486006
unchanged,WithoutPhrase,1,nDCG,0.7536109646810755,0.0012782662786486006
unchanged,WithoutPhrase,2,Strict-Hit,0.830750307503075,0.004064627710174203
unchanged,WithoutPhrase,2,Strict-MRR,0.7869618696186963,0.0025917967411691503
unchanged,WithoutPhrase,2,Strict-Recall,0.830750307503075,0.004064627710174203
unchanged,WithoutPhrase,2,nDCG,0.6543367128044769,0.0024378987434009146
unchanged,WithoutPhrase,3,Strict-Hit,0.8654366543665436,0.002982621316846817
unchanged,WithoutPhrase,3,Strict-MRR,0.7985239852398524,0.0021304437977476276
unchanged,WithoutPhrase,3,Strict-Recall,0.8654366543665436,0.002982621316846817
unchanged,WithoutPhrase,3,nDCG,0.6202913428718378,0.0017955082203020493
unchanged,WithoutPhrase,4,Strict-Hit,0.8890528905289052,0.002794050846642185
unchanged,WithoutPhrase,4,Strict-MRR,0.8044280442804429,0.002162164308886445
unchanged,WithoutPhrase,4,Strict-Recall,0.8890528905289052,0.002794050846642185
unchanged,WithoutPhrase,4,nDCG,0.6312679347163326,0.0019163986921289745
unchanged,WithoutPhrase,5,Strict-Hit,0.9008610086100862,0.00237236181082236
unchanged,WithoutPhrase,5,Strict-MRR,0.8067896678966789,0.0019889721063416697
unchanged,WithoutPhrase,5,Strict-Recall,0.9008610086100862,0.00237236181082236
unchanged,WithoutPhrase,5,nDCG,0.6361175040828021,0.0018551580806062716
unchanged,WithoutPhrase,6,Strict-Hit,0.9111931119311194,0.0018572778438551208
unchanged,WithoutPhrase,6,Strict-MRR,0.8085116851168511,0.001789572790108
unchanged,WithoutPhrase,6,Strict-Recall,0.9111931119311194,0.0018572778438551208
unchanged,WithoutPhrase,6,nDCG,0.6401247505064194,0.001721487083473915
unchanged,WithoutPhrase,7,Strict-Hit,0.9225092250922509,0.0014760147601476786
unchanged,WithoutPhrase,7,Strict-MRR,0.8101282727112986,0.001742153453150029
unchanged,WithoutPhrase,7,Strict-Recall,0.9225092250922509,0.0014760147601476786
unchanged,WithoutPhrase,7,nDCG,0.6452036419314938,0.0015056480740264118
unchanged,WithoutPhrase,8,Strict-Hit,0.9293972939729397,0.0015362848704546387
unchanged,WithoutPhrase,8,Strict-MRR,0.8109892813213847,0.0018528281883877914
unchanged,WithoutPhrase,8,Strict-Recall,0.9293972939729397,0.0015362848704546387
unchanged,WithoutPhrase,8,nDCG,0.6477264800835599,0.001680951967335662
unchanged,WithoutPhrase,9,Strict-Hit,0.9340713407134071,0.0011273248942080998
unchanged,WithoutPhrase,9,Strict-MRR,0.8115086198481033,0.0017628943116654327
unchanged,WithoutPhrase,9,Strict-Recall,0.9340713407134071,0.0011273248942080998
unchanged,WithoutPhrase,9,nDCG,0.6496825673653627,0.001347788258146045
unchanged,WithoutPhrase,10,Strict-Hit,0.9365313653136531,0.002660923450526924
unchanged,WithoutPhrase,10,Strict-MRR,0.8117546223081278,0.0019480551446208528
unchanged,WithoutPhrase,10,Strict-Recall,0.9365313653136531,0.002660923450526924
unchanged,WithoutPhrase,10,nDCG,0.6509501257907621,0.0016295315735258855
unchanged,WithoutText,1,Strict-Hit,0.5087330873308733,0.002982621316846735
unchanged,WithoutText,1,Strict-MRR,0.5087330873308733,0.002982621316846735
unchanged,WithoutText,1,Strict-Recall,0.5087330873308733,0.002982621316846735
unchanged,WithoutText,1,nDCG,0.5186434721490073,0.002929982688047091
unchanged,WithoutText,2,Strict-Hit,0.622140221402214,0.004608854611364176
unchanged,WithoutText,2,Strict-MRR,0.5654366543665437,0.001663929798089635
unchanged,WithoutText,2,Strict-Recall,0.622140221402214,0.004608854611364176
unchanged,WithoutText,2,nDCG,0.4735835198985809,0.001442442687116358
unchanged,WithoutText,3,Strict-Hit,0.676260762607626,0.0017043550381981582
unchanged,WithoutText,3,Strict-MRR,0.5834768347683478,0.0012442796970474409
unchanged,WithoutText,3,Strict-Recall,0.676260762607626,0.0017043550381981582
unchanged,WithoutText,3,nDCG,0.4588695213716765,0.0007529514716436625
unchanged,WithoutText,4,Strict-Hit,0.7148831488314883,0.0018572778438550178
unchanged,WithoutText,4,Strict-MRR,0.5931324313243133,0.00097693747908514
unchanged,WithoutText,4,Strict-Recall,0.7148831488314883,0.0018572778438550178
unchanged,WithoutText,4,nDCG,0.4730064303207639,0.0006817960070970399
unchanged,WithoutText,5,Strict-Hit,0.7419434194341944,0.0017043550381981582
unchanged,WithoutText,5,Strict-MRR,0.5985444854448545,0.001190276575013014
unchanged,WithoutText,5,Strict-Recall,0.7419434194341944,0.0017043550381981582
unchanged,WithoutText,5,nDCG,0.48214401446751626,0.0005923713621488384
unchanged,WithoutText,6,Strict-Hit,0.7581795817958179,0.0018572778438550547
unchanged,WithoutText,6,Strict-MRR,0.6012505125051251,0.0012364122144942285
unchanged,WithoutText,6,Strict-Recall,0.7581795817958179,0.0018572778438550547
unchanged,WithoutText,6,nDCG,0.4882212704736737,0.000661089020418284
unchanged,WithoutText,7,Strict-Hit,0.7744157441574416,0.0011273248942081059
unchanged,WithoutText,7,Strict-MRR,0.6035699642710712,0.0011891346541856042
unchanged,WithoutText,7,Strict-Recall,0.7744157441574416,0.0011273248942081059
unchanged,WithoutText,7,nDCG,0.49269033709593874,0.0007077836411563564
unchanged,WithoutText,8,Strict-Hit,0.785239852398524,0.0014760147601475815
unchanged,WithoutText,8,Strict-MRR,0.6049229778012065,0.0012949879953214566
unchanged,WithoutText,8,Strict-Recall,0.785239852398524,0.0014760147601475815
unchanged,WithoutText,8,nDCG,0.4960889977528491,0.0008289419707119421
unchanged,WithoutText,9,Strict-Hit,0.792619926199262,0.0012782662786486006
unchanged,WithoutText,9,Strict-MRR,0.6057429860012885,0.0012439784061429881
unchanged,WithoutText,9,Strict-Recall,0.792619926199262,0.0012782662786486006
unchanged,WithoutText,9,nDCG,0.4985581921693964,0.0008680376330654444
unchanged,WithoutText,10,Strict-Hit,0.8056580565805658,0.0018572778438550508
unchanged,WithoutText,10,Strict-MRR,0.6070467990394189,0.0013297682653480279
unchanged,WithoutText,10,Strict-Recall,0.8056580565805658,0.0018572778438550508
unchanged,WithoutText,10,nDCG,0.5018330206270364,0.0009724924826719091
