model,text_mean,text_std,entity_mean,entity_std,phrase_mean,phrase_std
AliasAwareFusion,0.5826666666666667,0.03453086955726642,0.3373333333333334,0.03453086955726646,0.08,0.0
WithoutEntity,0.828,0.02808151400069852,0.0,0.0,0.17200000000000001,0.028081514000698547
WithoutPhrase,0.5893333333333334,0.028149262021959855,0.4106666666666667,0.028149262021959866,0.0,0.0
WithoutText,0.0,0.0,0.656,0.03312314684843306,0.34400000000000003,0.03312314684843301
