subset,model,k,metric,value_mean,value_std,full_minus_variant
all,AliasAwareFusion,10,Strict-MRR,0.8354003111131921,0.002524829262460042,0.0
all,WithoutEntity,10,Strict-MRR,0.7441363877573317,0.0,0.09126392335586042
all,WithoutPhrase,10,Strict-MRR,0.8122302471737083,0.0017921865467381481,0.023170063939483843
all,WithoutText,10,Strict-MRR,0.6445504466399256,0.0011358912014398839,0.19084986447326657
