model,Strict-Hit@1_mean,Strict-Hit@1_std,Strict-Hit@5_mean,Strict-Hit@5_std,Strict-Hit@10_mean,Strict-Hit@10_std,Strict-MRR@10_mean,Strict-MRR@10_std,Strict-Recall@10_mean,Strict-Recall@10_std,nDCG@10_mean,nDCG@10_std
AliasAwareFusion,0.7773854331660439,0.03656734177138259,0.9164330464408079,0.008185913063692016,0.9518204080727989,0.006643832145802372,0.837906088674418,0.02418502672545899,0.9518204080727989,0.006643832145802372,0.6681870350172727,0.010034362804232203
WithoutEntity,0.6761422838283815,0.04281553971811002,0.8329456919802773,0.03422721495494142,0.8815587769923283,0.017747133494735622,0.744253790130344,0.03724400327863262,0.8815587769923283,0.017747133494735622,0.6041066364614601,0.020261913386580618
WithoutPhrase,0.7444671894494183,0.043434800586495445,0.9017017292385983,0.01376904055420361,0.938063472785655,0.013150161229552933,0.8118792512268286,0.03216307288524558,0.938063472785655,0.013150161229552933,0.6507193823001309,0.013297362119619289
WithoutText,0.5457433325777016,0.03657003041634976,0.7773238832046822,0.02563491929545732,0.8367865518963613,0.0166263804108319,0.643907172506234,0.03037952284144327,0.8367865518963613,0.0166263804108319,0.528928582478183,0.019913811501204026
